Name,Surname,Country,Year,Category,Motivation,Institution,Other,
C.W.,Moeliker,Netherlands,2003,Biology,for documenting the first scientifically recorded case of homosexual necrophilia in the mallard duck.,Natuurhistorisch Museum Rotterdam,,
Steven,Stack,US,2004,Medicine,for their published report “The Effect of Country Music on Suicide.”,"Wayne State University, Detroit, Michigan",,
James,Gundlach,US,2004,Medicine,for their published report “The Effect of Country Music on Suicide.”,"Auburn University, Auburn, Alabama",,
Ramesh,Balasubramaniam,India,2004,Physics,for exploring and explaining the dynamics of hula-hooping.,University of Ottawa,,
Michael,Turvey,UK,2004,Physics,for exploring and explaining the dynamics of hula-hooping.,University of Connecticut; Haskins Laboratory,,
Jillian,Clarke,US,2004,Public Health,for investigating the scientific validity of the Five-Second Rule about whether it’s safe to eat food that’s been dropped on the floor.,Chicago High School for Agricultural Sciences; Howard University,,
Coca-Cola Company of Great Britain,,UK,2004,Chemistry,"for using advanced technology to convert ordinary tap water into Dasani, a transparent form of water, which for precautionary reasons has been made unavailable to consumers.",,,
Donald,J. Smith,US,2004,Engineering,"for patenting the combover (U.S. Patent #4,022,227).",,,
Frank,J. Smith,US,2004,Engineering,"for patenting the combover (U.S. Patent #4,022,227).",,,
American Nudist Research Library,,US,2004,Literature,for preserving nudist history so that everyone can see it.,,,
Daniel,Simons,US,2004,Psychology,"for demonstrating that when people pay close attention to something, it’s all too easy to overlook anything else — even a woman in a gorilla suit.",University of Illinois at Urbana-Champaign,,
Christopher,Chabris,US,2004,Psychology,"for demonstrating that when people pay close attention to something, it’s all too easy to overlook anything else — even a woman in a gorilla suit.",Harvard University,,
Vatican,,Vatican,2004,Economics,for outsourcing prayers to India.,,,
Daisuke,Inoue,Japan,2004,Peace,"for inventing karaoke, thereby providing an entirely new way for people to learn to tolerate each other",,,
Ben,Wilson,UK (Scotland)?,2004,Biology,for showing that herrings apparently communicate by farting.,University of British Columbia,,
Lawrence,Dill,Canada?,2004,Biology,for showing that herrings apparently communicate by farting.,Simon Fraser University,,
Robert,Batty ,UK (Scotland)?,2004,Biology,for showing that herrings apparently communicate by farting.,Scottish Association for Marine Science,,
Magnus,Whalberg ,Denmark,2004,Biology,for showing that herrings apparently communicate by farting.,University of Aarhus,,
Hakan,Westerberg,Sweden?,2004,Biology,for showing that herrings apparently communicate by farting.,Sweden’s National Board of Fisheries,,
James,Watson,New Zealand?,2005,Agricultural History,"for his scholarly study, “The Significance of Mr. Richard Buckley’s Exploding Trousers. ”",Massey University,,
John,Mainstone,Australia,2005,Physics,"for patiently conducting an experiment that began in the year 1927 — in which a glob of congealed black tar has been slowly, slowly dripping through a funnel, at a rate of approximately one drop every nine years.",University of Queensland,,
Thomas,Parnell,UK,2005,Physics,"for patiently conducting an experiment that began in the year 1927 — in which a glob of congealed black tar has been slowly, slowly dripping through a funnel, at a rate of approximately one drop every nine years.",University of Queensland,,
Gregg,A. Miller,US,2005,Medicine,"for inventing Neuticles — artificial replacement testicles for dogs, which are available in three sizes, and three degrees of firmness.",,,
Internet entrepreneurs of Nigeria,,Nigeria,2005,Literature,"for creating and then using e-mail to distribute a bold series of short stories, thus introducing millions of readers to a cast of rich characters — General Sani Abacha, Mrs. Mariam Sanni Abacha, Barrister Jon A Mbeki Esq., and others — each of whom requires just a small amount of expense money so as to obtain access to the great wealth to which they are entitled and which they would like to share with the kind person who assists them.",,,
Claire,Rind ,New Zealand?,2005,Peace,for electrically monitoring the activity of a brain cell in a locust while that locust was watching selected highlights from the movie “Star Wars.”,Newcastle University,,
Peter,Simmons,UK?,2005,Peace,for electrically monitoring the activity of a brain cell in a locust while that locust was watching selected highlights from the movie “Star Wars.”,Newcastle University,,
Gauri,Nanda,US,2005,Economics,"for inventing an alarm clock that runs away and hides, repeatedly, thus ensuring that people DO get out of bed, and thus theoretically adding many productive hours to the workday.",MIT (Massachusetts Institute of Technology),,
Edward,Cussler,US,2005,Chemistry,for conducting a careful experiment to settle the longstanding scientific question: can people swim faster in syrup or in water?,University of Minnesota ,,
Brian,Gettelfinger,US,2005,Chemistry,for conducting a careful experiment to settle the longstanding scientific question: can people swim faster in syrup or in water?,University of Minnesota; University of Wisconsin,,
Benjamin,Smith,Australia,2005,Biology,for painstakingly smelling and cataloging the peculiar odors produced by 131 different species of frogs when the frogs were feeling stressed.,University of Adelaide; University of Toronto,,
Craig,Williams,Australia,2005,Biology,for painstakingly smelling and cataloging the peculiar odors produced by 131 different species of frogs when the frogs were feeling stressed.,James Cook University; University of South Australia,,
Michael,Tyler,Australia,2005,Biology,for painstakingly smelling and cataloging the peculiar odors produced by 131 different species of frogs when the frogs were feeling stressed.,University of Adelaide,,
Brian,Williams,Australia,2005,Biology,for painstakingly smelling and cataloging the peculiar odors produced by 131 different species of frogs when the frogs were feeling stressed.,University of Adelaide,,
Yoji,Hayasaka ,Japan,2005,Biology,for painstakingly smelling and cataloging the peculiar odors produced by 131 different species of frogs when the frogs were feeling stressed.,Australian Wine Research Institute,,
Yoshiro,Nakamats ,Japan,2005,Nutrition,for photographing and retrospectively analyzing every meal he has consumed during a period of 34 years (and counting).,,,
Victor,Benno Meyer-Rochow,Germany,2005,Fluid Dynamics,"for using basic principles of physics to calculate the pressure that builds up inside a penguin, as detailed in their report “Pressures Produced When Penguins Pooh — Calculations on Avian Defaecation.”",International University Bremen; University of Oulu,,
Jozsef,Gal,Hungary,2005,Fluid Dynamics,"for using basic principles of physics to calculate the pressure that builds up inside a penguin, as detailed in their report “Pressures Produced When Penguins Pooh — Calculations on Avian Defaecation.”",Loránd Eötvös University,,
Ivan,R. Schwab,US,2006,Ornithology,for exploring and explaining why woodpeckers don’t get headaches.,University of California Davis,,
Philip,R.A. May ,UK,2006,Ornithology,for exploring and explaining why woodpeckers don’t get headaches.,University of California Los Angeles,,
Wasmia,Al-Houty,Kuwait,2006,Nutrition,for showing that dung beetles are finicky eaters.,Kuwait University,,
Faten,Al-Mussalam,Kuwait,2006,Nutrition,for showing that dung beetles are finicky eaters.,Kuwait Environment Public Authority,,
Howard,Stapleton,Wales,2006,Peace,for inventing an electromechanical teenager repellant — a device that makes annoying high-pitched noise designed to be audible to teenagers but not to adults; and for later using that same technology to make telephone ringtones that are audible to teenagers but probably not to their teachers.,,,
D. Lynn,Halpern ,US,2006,Acoustics,for conducting experiments to learn why people dislike the sound of fingernails scraping on a blackboard.,Harvard Vanguard Medical Associates; Brandeis University; Northwestern University,,
Randolph,Blake,US,2006,Acoustics,for conducting experiments to learn why people dislike the sound of fingernails scraping on a blackboard.,Vanderbilt University; Northwestern University,,
James,Hillenbrand,US,2006,Acoustics,for conducting experiments to learn why people dislike the sound of fingernails scraping on a blackboard.,Western Michigan University; Northwestern University,,
Nic,Svenson,Australia,2006,Mathematics,for calculating the number of photographs you must take to (almost) ensure that nobody in a group photo will have their eyes closed,Australian Commonwealth Scientific and Research Organization,,
Piers,Barnes,Australia,2006,Mathematics,for calculating the number of photographs you must take to (almost) ensure that nobody in a group photo will have their eyes closed,Australian Commonwealth Scientific and Research Organization,,
Daniel,Oppenheimer,US,2006,Literature,for his report “Consequences of Erudite Vernacular Utilized Irrespective of Necessity: Problems with Using Long Words Needlessly.”,Princeton University ,,
Francis,M. Fesmire ,US,2006,Medicine,for his medical case report “Termination of Intractable Hiccups with Digital Rectal Massage“,University of Tennessee College of Medicine,,
Majed,Odeh,Israel,2006,Medicine,for their subsequent medical case report also titled “Termination of Intractable Hiccups with Digital Rectal Massage.,Bnai Zion Medical Center,,
Harry,Bassan,Israel,2006,Medicine,for their subsequent medical case report also titled “Termination of Intractable Hiccups with Digital Rectal Massage.,Bnai Zion Medical Center,,
Arie,Oliven ,Israel,2006,Medicine,for their subsequent medical case report also titled “Termination of Intractable Hiccups with Digital Rectal Massage.,Bnai Zion Medical Center,,
Basile,Audoly ,France,2006,Physics,"for their insights into why, when you bend dry spaghetti, it often breaks into more than two pieces.",,,
Sebastien,Neukirch,France,2006,Physics,"for their insights into why, when you bend dry spaghetti, it often breaks into more than two pieces.",,,
Antonio,Mulet,Spain,2006,Chemistry,for their study “Ultrasonic Velocity in Cheddar Cheese as Affected by Temperature.”,,,
José Javier,Benedito ,Spain,2006,Chemistry,for their study “Ultrasonic Velocity in Cheddar Cheese as Affected by Temperature.”,,,
José,Bon,Spain,2006,Chemistry,for their study “Ultrasonic Velocity in Cheddar Cheese as Affected by Temperature.”,,,
Bart,Knols,Netherlands,2006,Biology,for showing that the female malaria mosquito Anopheles gambiae is attracted equally to the smell of limburger cheese and to the smell of human feet.,Wageningen Agricultural University; National Institute for Medical Research; International Atomic Energy Agency,,
Ruurd,de Jong,Netherlands,2006,Biology,for showing that the female malaria mosquito Anopheles gambiae is attracted equally to the smell of limburger cheese and to the smell of human feet.,Wageningen Agricultural University;  Santa Maria degli Angeli,,
Brian,Witcombe,UK,2007,Medicine,for their penetrating medical report “Sword Swallowing and Its Side Effects.”,,,
Dan,Meyer,US,2007,Medicine,for their penetrating medical report “Sword Swallowing and Its Side Effects.”,,,
L.,Mahadevan,US/India,2007,Physics,for studying how sheets become wrinkled.,,,
Enrique,Cerda Villablanca,Chile,2007,Physics,for studying how sheets become wrinkled.,,,
Johanna,E.M.H. van Bronswijk,Netherlands,2007,Biology,"for doing a census of all the mites, insects, spiders, pseudoscorpions, crustaceans, bacteria, algae, ferns and fungi with whom we share our beds each night.",,,
Mayu,Yamamoto,Japan,2007,Chemistry,for developing a way to extract vanillin — vanilla fragrance and flavoring — from cow dung.,,,
Juan Manuel,Toro,Spain,2007,Linguistics ,for showing that rats sometimes cannot tell the difference between a person speaking Japanese backwards and a person speaking Dutch backwards.,,,
Josep,B. Trobalon,Spain,2007,Linguistics ,for showing that rats sometimes cannot tell the difference between a person speaking Japanese backwards and a person speaking Dutch backwards.,,,
Núria,Sebastián-Gallés,Spain,2007,Linguistics ,for showing that rats sometimes cannot tell the difference between a person speaking Japanese backwards and a person speaking Dutch backwards.,,,
Glenda,Browne,Australia,2007,Literature,for her study of the word “the” — and of the many ways it causes problems for anyone who tries to put things into alphabetical order.,,,
Air Force Wright Laboratory,,US,2007,Peace,for instigating research & development on a chemical weapon — the so-called “gay bomb” — that will make enemy soldiers become sexually irresistible to each other.,,,
Brian,Wansink,US,2007,Nutrition,"for exploring the seemingly boundless appetites of human beings, by feeding them with a self-refilling, bottomless bowl of soup.",,,
Kuo,Cheng Hsieh,Taiwan,2007,Economics,"for patenting a device, in the year 2001, that catches bank robbers by dropping a net over them.",,,
Patricia,V. Agostino,Argentina,2007,Aviation,for their discovery that Viagra aids jetlag recovery in hamsters.,,,
Santiago,A. Plano,Argentina,2007,Aviation,for their discovery that Viagra aids jetlag recovery in hamsters.,,,
Diego,A. Golombek,Argentina,2007,Aviation,for their discovery that Viagra aids jetlag recovery in hamsters.,,,
Massimiliano,Zampini,Italy ,2008,Nutrition,for electronically modifying the sound of a potato chip to make the person chewing the chip believe it to be crisper and fresher than it really is,University of Trento,,
Charles,Spence,UK,2008,Nutrition,for electronically modifying the sound of a potato chip to make the person chewing the chip believe it to be crisper and fresher than it really is,University of Oxford,,
The Swiss Federal Ethics Committee on Non-Human Biotechnology (ECNH),,Switzerland,2008,Peace,for adopting the legal principle that plants have dignity.,,,
Citizens of Switzerland,,Switzerland,2008,Peace,for adopting the legal principle that plants have dignity.,,,
Astolfo,G. Mello Araujo,Brazil,2008,Archaeology ,"for measuring how the course of history, or at least the contents of an archaeological dig site, can be scrambled by the actions of a live armadillo.",USP (Universidade de São Paulo),,
José Carlos,Marcelino,Brazil,2008,Archaeology ,"for measuring how the course of history, or at least the contents of an archaeological dig site, can be scrambled by the actions of a live armadillo.",USP (Universidade de São Paulo),,
Marie-Christine,Cadiergues,France,2008,Biology,for discovering that the fleas that live on a dog can jump higher than the fleas that live on a cat.,Ecole Nationale Veterinaire de Toulouse,,
Christel,Joubert,France,2008,Biology,for discovering that the fleas that live on a dog can jump higher than the fleas that live on a cat.,Ecole Nationale Veterinaire de Toulouse,,
Michel,Franc,France,2008,Biology,for discovering that the fleas that live on a dog can jump higher than the fleas that live on a cat.,Ecole Nationale Veterinaire de Toulouse,,
Dan,Ariely,US,2008,Medicine,for demonstrating that high-priced fake medicine is more effective than low-priced fake medicine.,Duke University,,
Rebecca,L. Waber,US,2008,Medicine,for demonstrating that high-priced fake medicine is more effective than low-priced fake medicine.,MIT ,,
Baba,Shiv,India,2008,Medicine,for demonstrating that high-priced fake medicine is more effective than low-priced fake medicine.,Stanford University,,
Ziv,Carmon,Singapore,2008,Medicine,for demonstrating that high-priced fake medicine is more effective than low-priced fake medicine.,,,
Toshiyuki,Nakagaki,Japan,2008,Cognitive Science,for discovering that slime molds can solve puzzles.,Hokkaido University,,
Hiroyasu,Yamada,Japan,2008,Cognitive Science,for discovering that slime molds can solve puzzles.,,,
Ryo,Kobayashi,Japan,2008,Cognitive Science,for discovering that slime molds can solve puzzles.,Hiroshima University,,
Atsushi,Tero,Japan,2008,Cognitive Science,for discovering that slime molds can solve puzzles.,Presto JST,,
Akio,Ishiguro,Japan,2008,Cognitive Science,for discovering that slime molds can solve puzzles.,Tohoku University,,
Ágotá,Tóth,Hungary,2008,Cognitive Science,for discovering that slime molds can solve puzzles.,University of Szeged,,
Geoffrey,Miller,US,2008,Economics,for discovering that professional lap dancers earn higher tips when they are ovulating.,University of New Mexico,,
Joshua,Tybur,US,2008,Economics,for discovering that professional lap dancers earn higher tips when they are ovulating.,University of New Mexico,,
Brent,Jordan,US,2008,Economics,for discovering that professional lap dancers earn higher tips when they are ovulating.,University of New Mexico,,
Dorian,Raymer,US,2008,Physics,for proving mathematically that heaps of string or hair or almost anything else will inevitably tangle themselves up in knots.,Ocean Observatories Initiative at Scripps Institution of Oceanography,,
Douglas,Smith,US,2008,Physics,for proving mathematically that heaps of string or hair or almost anything else will inevitably tangle themselves up in knots.,University of California,,
Sharee,A. Umpierre,US,2008,Chemistry,"for discovering that Coca-Cola is an effective spermicide, and to Chuang-Ye Hong of Taipei Medical University (Taiwan), C.C. Shieh, P. Wu, and B.N. Chiang (all of Taiwan) for discovering that it is not.",University of Puerto Rico,,
Joseph,A. Hill,US,2008,Chemistry,"for discovering that Coca-Cola is an effective spermicide, and to Chuang-Ye Hong of Taipei Medical University (Taiwan), C.C. Shieh, P. Wu, and B.N. Chiang (all of Taiwan) for discovering that it is not.",The Fertility Centers of New England,,
Deborah,J. Anderson,US,2008,Chemistry,"for discovering that Coca-Cola is an effective spermicide, and to Chuang-Ye Hong of Taipei Medical University (Taiwan), C.C. Shieh, P. Wu, and B.N. Chiang (all of Taiwan) for discovering that it is not.",Boston University School of Medicine; Harvard Medical School,,
David,Sims,UK,2008,Literature,for his lovingly written study “You Bastard: A Narrative Exploration of the Experience of Indignation within Organizations.”,Cass Business School,,
Catherine,Douglas,UK,2009,Veterinary Medicine,for showing that cows who have names give more milk than cows that are nameless.,Newcastle University,,
Peter,Rowlinson,UK,2009,Veterinary Medicine,for showing that cows who have names give more milk than cows that are nameless.,Newcastle University,,
Stephan,Bolliger,Switzerland,2009,Peace,for determining — by experiment — whether it is better to be smashed over the head with a full bottle of beer or with an empty bottle.,University of Bern,,
Steffen,Ross,Switzerland,2009,Peace,for determining — by experiment — whether it is better to be smashed over the head with a full bottle of beer or with an empty bottle.,University of Bern,,
Lars,Oesterhelweg,Switzerland,2009,Peace,for determining — by experiment — whether it is better to be smashed over the head with a full bottle of beer or with an empty bottle.,University of Bern,,
Michael,Thali,Switzerland,2009,Peace,for determining — by experiment — whether it is better to be smashed over the head with a full bottle of beer or with an empty bottle.,University of Bern,,
Beat,Kneubuehl,Switzerland,2009,Peace,for determining — by experiment — whether it is better to be smashed over the head with a full bottle of beer or with an empty bottle.,University of Bern,,
"The directors, executives, and auditors of four Icelandic banks — Kaupthing Bank, Landsbanki, Glitnir Bank, and Central Bank of Iceland",,Iceland,2009,Economics,"for demonstrating that tiny banks can be rapidly transformed into huge banks, and vice versa — and for demonstrating that similar things can be done to an entire national economy.",,,
Javier,Morales,Mexico,2009,Chemistry,for creating diamonds from liquid — specifically from tequila.,Universidad Nacional Autónoma de México,,
Miguel,Apátiga,Mexico,2009,Chemistry,for creating diamonds from liquid — specifically from tequila.,Universidad Nacional Autónoma de México,,
Victor,M. Castaño,Mexico,2009,Chemistry,for creating diamonds from liquid — specifically from tequila.,Universidad Nacional Autónoma de México,,
Donald,L. Unger,US,2009,Medicine,"for investigating a possible cause of arthritis of the fingers, by diligently cracking the knuckles of his left hand — but never cracking the knuckles of his right hand — every day for more than sixty (60) years.",,,
Katherine,K. Whitcome,US,2009,Physics,for analytically determining why pregnant women don’t tip over.,,,
Daniel,E. Lieberman,US,2009,Physics,for analytically determining why pregnant women don’t tip over.,Harvard University,,
Liza,J. Shapiro,US,2009,Physics,for analytically determining why pregnant women don’t tip over.,University of Texas,,
Ireland’s police service,,Ireland,2009,Literature,for writing and presenting more than fifty traffic tickets to the most frequent driving offender in the country — Prawo Jazdy — whose name in Polish means “Driving License”.,,,
Elena,N. Bodnar,US,2009,Public Health,"for inventing a brassiere that, in an emergency, can be quickly converted into a pair of protective face masks, one for the brassiere wearer and one to be given to some needy bystander",,,
Raphael,C. Lee,US,2009,Public Health,"for inventing a brassiere that, in an emergency, can be quickly converted into a pair of protective face masks, one for the brassiere wearer and one to be given to some needy bystander",,,
Sandra,Marijan,US,2009,Public Health,"for inventing a brassiere that, in an emergency, can be quickly converted into a pair of protective face masks, one for the brassiere wearer and one to be given to some needy bystander",,,
Gideon,Gono,Zimbabwe,2009,Mathematics,"for giving people a simple, everyday way to cope with a wide range of numbers — from very small to very big — by having his bank print bank notes with denominations ranging from one cent ($.01) to one hundred trillion dollars ($100,000,000,000,000).",governor of Zimbabwe’s Reserve Bank,,
Fumiaki,Taguchi,Japan,2009,Biology,for demonstrating that kitchen refuse can be reduced more than 90% in mass by using bacteria extracted from the feces of giant pandas.,Kitasato University Graduate School of Medical Sciences,,
Song,Guofu,Japan,2009,Biology,for demonstrating that kitchen refuse can be reduced more than 90% in mass by using bacteria extracted from the feces of giant pandas.,Kitasato University Graduate School of Medical Sciences,,
Zhang,Guanglei,Japan,2009,Biology,for demonstrating that kitchen refuse can be reduced more than 90% in mass by using bacteria extracted from the feces of giant pandas.,Kitasato University Graduate School of Medical Sciences,,
Karina,Acevedo-Whitehouse,Mexico,2010,Engineering,"for perfecting a method to collect whale snot, using a remote-control helicopter.",Zoological Society of London,,
Agnes,Rocha-Gosselin,Mexico,2010,Engineering,"for perfecting a method to collect whale snot, using a remote-control helicopter.",Zoological Society of London,,
Diane,Gendron,Mexico,2010,Engineering,"for perfecting a method to collect whale snot, using a remote-control helicopter.",Instituto Politecnico Nacional,,
Simon,Rietveld,Netherlands,2010,Medicine,for discovering that symptoms of asthma can be treated with a roller-coaster ride.,University of Amsterdam,,
Ilja,van Beest,Netherlands,2010,Medicine,for discovering that symptoms of asthma can be treated with a roller-coaster ride.,Tilburg University,,
Toshiyuki,Nakagaki,Japan,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Atsushi,Tero,Japan,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Seiji,Takagi,Japan,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Tetsu,Saigusa,Japan,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Kentaro,Ito,Japan,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Kenji,Yumiki,Japan,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Ryo,Kobayashi,Japan,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Dan,Bebber,UK,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Mark,Fricker,UK,2010,Transportation Planning,for using slime mold to determine the optimal routes for railroad tracks.,,,
Lianne,Parkin,New Zealand,2010,Physics,"for demonstrating that, on icy footpaths in wintertime, people slip and fall less often if they wear socks on the outside of their shoes.",University of Otago,,
Sheila,Williams,New Zealand,2010,Physics,"for demonstrating that, on icy footpaths in wintertime, people slip and fall less often if they wear socks on the outside of their shoes.",University of Otago,,
Patricia,Priest,New Zealand,2010,Physics,"for demonstrating that, on icy footpaths in wintertime, people slip and fall less often if they wear socks on the outside of their shoes.",University of Otago,,
Richard,Stephens,UK,2010,Peace,for confirming the widely held belief that swearing relieves pain.,Keele University,,
John,Atkins,UK,2010,Peace,for confirming the widely held belief that swearing relieves pain.,Keele University,,
Andrew,Kingston,UK,2010,Peace,for confirming the widely held belief that swearing relieves pain.,Keele University,,
Manuel,Barbeito,US,2010,Public Health,for determining by experiment that microbes cling to bearded scientists.,Industrial Health and Safety Office,,
Charles,Mathews,US,2010,Public Health,for determining by experiment that microbes cling to bearded scientists.,Industrial Health and Safety Office,,
Larry,Taylor,US,2010,Public Health,for determining by experiment that microbes cling to bearded scientists.,Industrial Health and Safety Office,,
"The executives and directors of Goldman Sachs, AIG, Lehman Brothers, Bear Stearns, Merrill Lynch, and Magnetar",,Banks,2010,Economics,"for creating and promoting new ways to invest money — ways that maximize financial gain and minimize financial risk for the world economy, or for a portion thereof.",,,
Eric,Adams,US,2010,Chemistry,for disproving the old belief that oil and water don’t mix.,MIT,,
Scott,Socolofsky ,US,2010,Chemistry,for disproving the old belief that oil and water don’t mix.,Texas A&M University,,
Stephen,Masutani,US,2010,Chemistry,for disproving the old belief that oil and water don’t mix.,University of Hawaii,,
BP [British Petroleum],,UK,2010,Chemistry,for disproving the old belief that oil and water don’t mix.,,,
Alessandro,Pluchino,Italy,2010,Management ,for demonstrating mathematically that organizations would become more efficient if they promoted people at random.,University of Catania,,
Andrea,Rapisarda,Italy,2010,Management ,for demonstrating mathematically that organizations would become more efficient if they promoted people at random.,University of Catania,,
Cesare,Garofalo,Italy,2010,Management ,for demonstrating mathematically that organizations would become more efficient if they promoted people at random.,University of Catania,,
Libiao,Zhang,China,2010,Biology,for scientifically documenting fellatio in fruit bats.,,,
Min,Tan,China,2010,Biology,for scientifically documenting fellatio in fruit bats.,,,
Guangjian,Zhu,China,2010,Biology,for scientifically documenting fellatio in fruit bats.,,,
Jianping,Ye,China,2010,Biology,for scientifically documenting fellatio in fruit bats.,,,
Tiyu,Hong,China,2010,Biology,for scientifically documenting fellatio in fruit bats.,,,
Shanyi,Zhou,China,2010,Biology,for scientifically documenting fellatio in fruit bats.,,,
Shuyi,Zhang,China,2010,Biology,for scientifically documenting fellatio in fruit bats.,,,
Gareth,Jones,UK,2010,Biology,for scientifically documenting fellatio in fruit bats.,University of Bristol,,
Anna,Wilkinson,UK,2011,Physiology ,for their study “No Evidence of Contagious Yawning in the Red-Footed Tortoise.”,,,
Natalie,Sebanz,Netherlands/Hungary/Austria,2011,Physiology ,for their study “No Evidence of Contagious Yawning in the Red-Footed Tortoise.”,,,
Isabella,Mandl,Austria,2011,Physiology ,for their study “No Evidence of Contagious Yawning in the Red-Footed Tortoise.”,,,
Ludwig,Huber,Austria,2011,Physiology ,for their study “No Evidence of Contagious Yawning in the Red-Footed Tortoise.”,,,
Makoto,Imai,Japan,2011,Chemistry,"for determining the ideal density of airborne wasabi (pungent horseradish) to awaken sleeping people in case of a fire or other emergency, and for applying this knowledge to invent the wasabi alarm.",,,
Naoki,Urushihata,Japan,2011,Chemistry,"for determining the ideal density of airborne wasabi (pungent horseradish) to awaken sleeping people in case of a fire or other emergency, and for applying this knowledge to invent the wasabi alarm.",,,
Hideki,Tanemura,Japan,2011,Chemistry,"for determining the ideal density of airborne wasabi (pungent horseradish) to awaken sleeping people in case of a fire or other emergency, and for applying this knowledge to invent the wasabi alarm.",,,
Yukinobu,Tajima,Japan,2011,Chemistry,"for determining the ideal density of airborne wasabi (pungent horseradish) to awaken sleeping people in case of a fire or other emergency, and for applying this knowledge to invent the wasabi alarm.",,,
Hideaki,Goto,Japan,2011,Chemistry,"for determining the ideal density of airborne wasabi (pungent horseradish) to awaken sleeping people in case of a fire or other emergency, and for applying this knowledge to invent the wasabi alarm.",,,
Koichiro,Mizoguchi,Japan,2011,Chemistry,"for determining the ideal density of airborne wasabi (pungent horseradish) to awaken sleeping people in case of a fire or other emergency, and for applying this knowledge to invent the wasabi alarm.",,,
Junichi,Murakami,Japan,2011,Chemistry,"for determining the ideal density of airborne wasabi (pungent horseradish) to awaken sleeping people in case of a fire or other emergency, and for applying this knowledge to invent the wasabi alarm.",,,
Mirjam,Tuk,Netherlands/UK,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
Debra,Trampe,Netherlands,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
Luk,Warlop,Belgium,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
Matthew,Lewis,US,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
Peter,Snyder,US,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
Robert,Feldman,US,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
Robert,Pietrzak,Australia,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
David,Darby,Australia,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
Paul,Maruff,Australia,2011,Medicine,for demonstrating that people make better decisions about some kinds of things — but worse decisions about other kinds of things‚ when they have a strong urge to urinate.,,,
Karl,Halvor Teigen ,Norway,2011,Psychology,"for trying to understand why, in everyday life, people sigh.",University of Oslo,,
John,Perry,US,2011,Literature,"for his Theory of Structured Procrastination, which says: To be a high achiever, always work on something important, using it as a way to avoid doing something that’s even more important.",Stanford University,,
Darryl,Gwynne,Canada/Australia/UK/US,2011,Biology,for discovering that a certain kind of beetle mates with a certain kind of Australian beer bottle,,,
David,Rentz,Australia/US,2011,Biology,for discovering that a certain kind of beetle mates with a certain kind of Australian beer bottle,,,
Philippe,Perrin,France,2011,Physics,"for determining why discus throwers become dizzy, and why hammer throwers don’t.",,,
Cyril,Perrot,France,2011,Physics,"for determining why discus throwers become dizzy, and why hammer throwers don’t.",,,
Dominique,Deviterne,France,2011,Physics,"for determining why discus throwers become dizzy, and why hammer throwers don’t.",,,
Bruno,Ragaru,France,2011,Physics,"for determining why discus throwers become dizzy, and why hammer throwers don’t.",,,
Herman,Kingma,Netherlands,2011,Physics,"for determining why discus throwers become dizzy, and why hammer throwers don’t.",,,
Dorothy,Martin,US,2011,Mathematics,for teaching the world to be careful when making mathematical assumptions and calculations.,,(who predicted the world would end in 1954),
Pat,Robertson,US,2011,Mathematics,for teaching the world to be careful when making mathematical assumptions and calculations.,,(who predicted the world would end in 1982),
Elizabeth,Clare Prophet,US,2011,Mathematics,for teaching the world to be careful when making mathematical assumptions and calculations.,,(who predicted the world would end in 1990),
Lee,Jang Rim,South Korea,2011,Mathematics,for teaching the world to be careful when making mathematical assumptions and calculations.,,(who predicted the world would end in 1992),
Credonia,Mwerinde,Uganda,2011,Mathematics,for teaching the world to be careful when making mathematical assumptions and calculations.,,(who predicted the world would end in 1999),
Harold,Camping,US,2011,Mathematics,for teaching the world to be careful when making mathematical assumptions and calculations.,,"(who predicted the world would end on September 6, 1994 and later predicted that the world will end on October 21, 2011)",
